,CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
5,713061558,1.0,0.4090909090909091,1.0,0.4,0.2,0.5,0.25,0.0,0.5348837209302325,0.4,0.16666666666666666,0.4,0.07774724361125471,0.4954310687326182,0.07996986642714339,0.9721362229102167,0.04079616036137775,0.11864406779661017,0.6041358936484491,0.3113113113113113,4.744400222176598e-05,0.9999499671514336
10,708790833,1.0,0.36363636363636365,1.0,1.0,0.0,0.0,1.0,0.0,0.4186046511627907,0.8,0.5,0.4,0.1605220435520003,0.5828367103694875,0.15292788224726914,0.5503095975232198,0.048771880293619424,0.2711864406779661,0.48153618906942397,0.2172172172172172,0.0001833964132554065,0.9998198817451609
14,712396908,1.0,0.7045454545454546,0.0,0.4,0.2,0.5,0.0,0.0,0.813953488372093,0.8,0.3333333333333333,0.4,0.030162314792140932,0.2701628923321414,0.050792455016950136,0.8281733746130031,0.07481648785996613,0.16101694915254236,0.430576070901034,0.2792792792792793,0.00010622566081423888,0.999899934302867
19,709327383,1.0,0.4318181818181818,0.0,0.4,0.2,0.5,0.5,0.0,0.5581395348837209,1.0,0.16666666666666666,0.4,0.3939723741372587,0.4596742153357171,0.3856517833859705,0.6547987616099072,0.04919536984754376,0.09322033898305085,0.6506646971935008,0.08008008008008008,4.744400222176598e-05,0.9999499671514336
20,806165208,1.0,0.4772727272727273,1.0,0.2,1.0,1.0,0.5,0.0,0.6744186046511628,0.8,0.3333333333333333,0.0,0.590751473046796,0.7151370679380215,0.5556167241329354,0.6083591331269351,0.0471485036702428,0.1440677966101695,0.6654357459379617,0.08608608608608607,4.939828748522034e-05,0.9999499671514336
21,708508758,0.0,0.8181818181818182,0.0,0.0,0.2,0.5,0.0,0.0,0.8372093023255814,0.2,0.5,0.6,0.0,0.0,0.041587228001043086,0.7174922600619196,0.012845849802371542,0.05084745762711865,0.4224519940915805,0.0,0.9968079006705483,0.0031918555808630594
23,811604133,1.0,0.4772727272727273,0.0,0.8,0.6,0.0,0.0,0.0,0.5348837209302325,0.4,0.5,0.4,0.03185529828252872,0.6197854588796186,0.026917393445947905,0.3506191950464396,0.043478260869565216,0.11016949152542373,0.24002954209748892,0.6266266266266266,0.00019981721262728877,0.9997998686057343
24,789124683,1.0,0.6363636363636364,1.0,0.4,0.2,0.5,0.5,0.0,0.6744186046511628,0.6,0.3333333333333333,0.6,0.32586002049719304,0.0,0.35389563352939474,0.7391640866873066,0.042348955392433656,0.09322033898305085,0.5332348596750369,0.0,0.00020288923298509976,0.9997998686057343
25,771071958,1.0,0.3409090909090909,0.0,0.6,0.2,0.0,0.0,0.0,0.3488372093023256,1.0,0.16666666666666666,0.4,0.19135852855549207,0.6630909813269765,0.17662909628256018,0.5239938080495358,0.03818464144551101,0.1016949152542373,0.5945347119645495,0.21521521521521522,4.951936711495817e-05,0.9999499671514336
26,720466383,1.0,0.75,1.0,0.2,0.4,0.5,0.25,0.0,0.7674418604651163,0.6,0.16666666666666666,0.4,0.40346517442264734,0.5458879618593564,0.3884623185466346,0.6199690402476782,0.048489553924336536,0.11016949152542373,0.9394387001477106,0.09309309309309309,4.2619829536095996e-05,0.9999599737211469
