,CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
5,713061558,1.0,0.4090909090909091,1.0,0.4,0.2,0.5,0.25,0.0,0.5348837209302325,0.4,0.16666666666666666,0.3333333333333333,0.07774724361125471,0.4954310687326182,0.07996986642714339,0.9721362229102167,0.040813444428753,0.11864406779661017,0.6041358936484491,0.3113113113113113,4.7433085432535034e-05,0.9999499784917519
10,708790833,1.0,0.36363636363636365,1.0,1.0,0.0,0.0,1.0,0.0,0.4186046511627907,0.8,0.5,0.3333333333333333,0.1605220435520003,0.5828367103694875,0.15292788224726914,0.5503095975232198,0.048792543426069764,0.2711864406779661,0.48153618906942397,0.2172172172172172,0.00018335421403326116,0.9998199225703067
14,712396908,1.0,0.7045454545454546,0.0,0.4,0.2,0.5,0.0,0.0,0.813953488372093,0.8,0.3333333333333333,0.3333333333333333,0.030162314792140932,0.2701628923321414,0.050792455016950136,0.8281733746130031,0.07484818528456433,0.16101694915254236,0.430576070901034,0.2792792792792793,0.00010620121845913135,0.9998999569835036
19,709327383,1.0,0.4318181818181818,0.0,0.4,0.2,0.5,0.0,0.0,0.5581395348837209,1.0,0.16666666666666666,0.3333333333333333,0.3939723741372587,0.4596742153357171,0.3856517833859705,0.6547987616099072,0.049216212399378616,0.09322033898305085,0.6506646971935008,0.08008008008008008,4.7433085432535034e-05,0.9999499784917519
20,806165208,1.0,0.4772727272727273,1.0,0.2,1.0,1.0,0.5,0.0,0.6744186046511628,0.8,0.3333333333333333,0.0,0.590751473046796,0.7151370679380215,0.5556167241329354,0.6083591331269351,0.04716847902838582,0.1440677966101695,0.6654357459379617,0.08608608608608607,4.938692101806766e-05,0.9999499784917519
21,708508758,0.0,0.8181818181818182,0.0,0.0,0.2,0.5,0.0,0.0,0.8372093023255814,0.2,0.5,0.5,0.0,0.0,0.041587228001043086,0.7174922600619196,0.012851292190368593,0.05084745762711865,0.4224519940915805,0.0,0.9965785367626618,0.0034177895811641087
23,811604133,1.0,0.4772727272727273,0.0,0.8,0.2,0.0,0.0,0.0,0.5348837209302325,0.4,0.5,0.3333333333333333,0.03185529828252872,0.6197854588796186,0.026917393445947905,0.3506191950464396,0.04349668125970908,0.11016949152542373,0.24002954209748892,0.6266266266266266,0.0001997712350054016,0.9997999139670074
24,789124683,1.0,0.6363636363636364,1.0,0.4,0.2,0.5,0.75,0.0,0.6744186046511628,0.6,0.3333333333333333,0.5,0.32586002049719304,0.0,0.35389563352939474,0.7391640866873066,0.042366897330885465,0.09322033898305085,0.5332348596750369,0.0,0.0002028425484962286,0.9997999139670074
25,771071958,1.0,0.3409090909090909,0.0,0.6,0.2,0.0,0.0,0.0,0.3488372093023256,1.0,0.16666666666666666,0.3333333333333333,0.19135852855549207,0.6630909813269765,0.17662909628256018,0.5239938080495358,0.038200819093348395,0.1016949152542373,0.5945347119645495,0.21521521521521522,4.950797278757582e-05,0.9999499784917519
26,720466383,1.0,0.75,1.0,0.2,0.4,0.5,0.25,0.0,0.7674418604651163,0.6,0.16666666666666666,0.3333333333333333,0.40346517442264734,0.5458879618593564,0.3884623185466346,0.6199690402476782,0.048510097443863864,0.11016949152542373,0.9394387001477106,0.09309309309309309,4.261002278130475e-05,0.9999599827934015
